User_ID,User_Name,Country,Genre,Movie_Name,Watch_Hours,Rating,Subscription_Type,Device,Watch_Date
1,Anthony,Canada,Romance,Resource,2.6,3,Standard,Tablet,2025-02-07
2,Leah,USA,Action,Seven,4.1,9,Premium,Tablet,2025-05-10
3,Bobby,India,Comedy,Chance,0.7,4,Standard,Laptop,2025-03-09
4,Scott,India,Romance,Late,1.1,6,Standard,Laptop,2025-02-15
5,Tara,India,Sci-Fi,Whatever,4.8,9,Basic,Mobile,2025-04-14
6,Wendy,UK,Horror,Moment,0.5,7,Basic,Laptop,2025-02-16
7,Melissa,Canada,Romance,Piece,4.3,4,Standard,Laptop,2025-02-12
8,Lawrence,Japan,Comedy,Figure,3.0,1,Premium,TV,2025-06-09
9,Rodney,India,Horror,Pass,3.2,9,Standard,Tablet,2025-06-26
10,Stephanie,India,Romance,Move,3.9,2,Standard,TV,2025-04-13
11,Heather,Japan,Sci-Fi,Simple,4.3,7,Premium,TV,2025-03-03
12,Robert,India,Comedy,Everyone,0.8,10,Basic,TV,2025-02-07
13,Michael,Japan,Comedy,Morning,3.6,1,Standard,Laptop,2025-06-30
14,Jennifer,India,Drama,Key,4.1,10,Standard,Mobile,2025-06-16
15,Eric,Japan,Action,Less,1.0,4,Premium,Laptop,2025-06-26
16,Randy,Canada,Romance,Others,2.3,2,Premium,Laptop,2025-01-12
17,Mark,Japan,Action,Reality,4.9,8,Premium,Tablet,2025-06-08
18,David,USA,Comedy,Sometimes,0.7,8,Basic,Laptop,2025-02-11
19,Sean,USA,Action,Little,0.7,4,Standard,Mobile,2025-01-25
20,Anna,USA,Horror,Reality,4.8,7,Standard,Tablet,2025-06-26
21,Brian,Japan,Comedy,Drive,2.0,8,Premium,TV,2025-04-26
22,Caitlin,Canada,Action,Only,1.2,4,Premium,TV,2025-04-17
23,Cody,UK,Comedy,Man,4.3,2,Basic,Tablet,2025-04-13
24,Ronald,USA,Action,Prevent,0.5,5,Premium,TV,2025-03-11
25,Kimberly,UK,Drama,Nation,2.3,2,Premium,Mobile,2025-03-01
26,Chelsea,India,Romance,Speech,4.2,6,Standard,Mobile,2025-01-23
27,Daniel,USA,Romance,Ball,4.6,2,Premium,TV,2025-02-17
28,Michael,USA,Romance,Room,1.1,1,Standard,Tablet,2025-05-22
29,Linda,UK,Comedy,Those,2.2,8,Basic,TV,2025-02-14
30,Adam,Canada,Horror,Give,3.3,3,Premium,Mobile,2025-01-19
31,Annette,Japan,Horror,Likely,1.9,2,Basic,Mobile,2025-06-16
32,Megan,India,Action,Why,4.1,7,Basic,Mobile,2025-04-11
33,Scott,UK,Sci-Fi,High,2.4,10,Basic,Mobile,2025-04-24
34,Jason,Japan,Horror,Score,3.3,2,Basic,Laptop,2025-03-17
35,Melanie,India,Romance,Institution,3.1,3,Premium,Tablet,2025-05-22
36,Megan,India,Action,If,3.4,8,Premium,Tablet,2025-01-27
