Date,Device_ID,Steps,Active_Minutes,Calories_Burned,Sleep_Quality,Avg_Heart_Rate
2026-05-10,WD-01,10500,45,2400,Good,72
2026-05-11,WD-01,8400,30,2100,Fair,75
2026-05-12,WD-01,,15,1850,Poor,68
2026-05-13,WD-01,12000,60,2650,Excellent,74
2026-05-14,WD-01,9500,40,2250,,71
2026-05-15,WD-01,11000,50,2500,Good,
2026-05-16,WD-02,4500,20,1600,Fair,65
2026-05-17,WD-02,6200,25,1750,Fair,67
2026-05-18,WD-02,3100,10,1400,Poor,64
2026-05-19,WD-02,15000,90,3100,Excellent,78
2026-05-20,WD-02,,35,2000,Good,70
2026-05-21,WD-02,8800,42,2150,,73
2026-05-22,WD-03,13200,70,2800,Excellent,76
2026-05-23,WD-03,11500,55,2550,Good,74
2026-05-24,WD-03,9800,45,2300,Good,72
2026-05-25,WD-03,5000,15,1700,Poor,69
2026-05-26,WD-03,,50,2450,Fair,73
2026-05-27,WD-03,10200,48,2380,Good,71
