Log_ID,Date,User_ID,Age,Gender,Device_Type,Steps,Distance_km,Calories_Burned,Active_Minutes,Sleep_Duration_Hours,Heart_Rate_Avg,Weather_Condition
FT-1001,2026-03-31,USR-121,49,Female,Garmin Venu 3,10984.0,7.56,2400,98.0,6.8,78,Cloudy
FT-1002,2026-02-19,USR-104,45,Female,Fitbit Charge 5,9309.0,7.37,2176,100.0,8.5,81,Cloudy
FT-1003,2026-03-05,USR-101,38,Male,Samsung Galaxy Watch 6,13634.0,9.93,2345,98.0,7.5,87,Cloudy
FT-1004,2026-02-21,USR-124,51,Female,Samsung Galaxy Watch 6,11549.0,8.87,2328,78.0,7.3,81,
FT-1005,2026-02-01,USR-109,36,Male,Apple Watch Series 9,6370.0,5.67,1737,60.0,5.7,79,Sunny
FT-1006,2026-01-19,USR-108,30,Male,Samsung Galaxy Watch 6,8610.0,6.18,2061,79.0,7.4,73,Cloudy
FT-1007,2026-03-25,USR-108,30,Male,Samsung Galaxy Watch 6,9727.0,6.38,2154,77.0,6.2,74,Cloudy
FT-1008,2026-03-30,USR-105,51,Female,Apple Watch Series 9,6938.0,5.16,2059,75.0,6.4,90,Sunny
FT-1009,2026-01-01,USR-124,51,Female,Samsung Galaxy Watch 6,8540.0,6.93,1951,58.0,6.2,73,
FT-1010,2026-01-14,USR-104,45,Female,Fitbit Charge 5,14422.0,11.74,2511,118.0,5.9,93,Sunny
FT-1011,2026-02-24,USR-122,32,Non-binary,Fitbit Charge 5,10432.0,7.44,1919,78.0,,78,Rainy
FT-1012,2026-01-29,USR-124,51,Female,Samsung Galaxy Watch 6,5958.0,4.73,1891,71.0,8.6,79,Rainy
FT-1013,2026-01-23,USR-118,42,Female,Garmin Venu 3,9493.0,7.03,2266,98.0,9.2,88,Rainy
FT-1014,2026-03-31,USR-103,46,Non-binary,Apple Watch Series 9,9100.0,6.87,1971,68.0,5.8,86,Sunny
FT-1015,2026-03-08,USR-119,43,Non-binary,Garmin Venu 3,10450.0,9.0,2179,79.0,7.2,79,Cloudy
FT-1016,2026-03-01,USR-114,49,Non-binary,Fitbit Charge 5,9044.0,6.27,2179,83.0,5.7,77,Rainy
FT-1017,2026-01-07,USR-102,49,Non-binary,Garmin Venu 3,8103.0,6.26,1982,65.0,6.3,78,
FT-1018,2026-03-13,USR-101,38,Male,Samsung Galaxy Watch 6,9092.0,7.1,2118,,6.1,81,Cloudy
FT-1019,2026-02-01,USR-103,46,Non-binary,Apple Watch Series 9,11715.0,9.34,2190,93.0,8.5,86,Sunny
FT-1020,2026-01-16,USR-107,40,Non-binary,Garmin Venu 3,13223.0,10.09,2281,83.0,6.7,80,Cloudy
FT-1021,2026-02-28,USR-108,30,Male,Samsung Galaxy Watch 6,9714.0,7.51,2205,79.0,8.3,83,Cloudy
FT-1022,2026-01-18,USR-117,54,Female,Samsung Galaxy Watch 6,13635.0,10.21,2406,99.0,7.8,91,Rainy
FT-1023,2026-03-01,USR-120,46,Non-binary,Apple Watch Series 9,9411.0,7.26,2041,72.0,9.6,81,Rainy
FT-1024,2026-03-27,USR-101,38,Male,Samsung Galaxy Watch 6,10561.0,7.89,2290,99.0,5.5,83,Cloudy
FT-1025,2026-03-09,USR-118,42,Female,Garmin Venu 3,11872.0,9.27,2310,81.0,8.5,70,Cloudy
FT-1026,2026-03-13,USR-107,40,Non-binary,Garmin Venu 3,10660.0,7.95,2044,94.0,8.4,65,Cloudy
FT-1027,2026-03-18,USR-123,27,Male,Garmin Venu 3,,6.48,2150,67.0,6.0,81,Rainy
