Timestamp,Room_Type,Temperature_C,Humidity_Pct,Power_Consumption_kWh,Motion_Detected,Device_Status
2026-01-01 00:00,Server Closet,24.3,38.9,0.923,No,Active
2026-01-02 07:00,Server Closet,24.1,43.2,1.385,No,Standby
2026-01-03 14:00,Kitchen,21.5,52.3,0.316,Yes,Standby
2026-01-04 21:00,Master Bedroom,20.0,37.2,0.188,No,Standby
2026-01-06 04:00,Living Room,20.9,46.7,0.301,Yes,Active
2026-01-07 11:00,Home Office,19.3,55.9,0.207,Yes,Standby
2026-01-08 18:00,Server Closet,24.6,58.3,1.442,No,Standby
2026-01-10 01:00,Living Room,19.4,49.8,0.222,No,Standby
2026-01-11 08:00,Server Closet,26.4,32.7,1.066,No,Active
2026-01-12 15:00,Master Bedroom,19.8,40.1,0.285,No,Active
2026-01-13 22:00,Living Room,18.9,50.1,0.254,No,Standby
2026-01-15 05:00,Server Closet,23.1,41.9,1.144,No,Standby
2026-01-16 12:00,Master Bedroom,,46.5,0.0,No,Offline
2026-01-17 19:00,Server Closet,23.3,47.4,1.493,No,Standby
2026-01-19 02:00,Living Room,22.2,43.8,0.0,No,Offline
2026-01-20 09:00,Home Office,22.4,56.5,0.141,Yes,Standby
2026-01-21 16:00,Home Office,21.0,43.0,0.147,Yes,Active
2026-01-22 23:00,Server Closet,24.2,40.5,0.0,No,Offline
2026-01-24 06:00,Living Room,21.0,43.3,0.373,Yes,Standby
2026-01-25 13:00,Kitchen,21.2,50.8,2.378,Yes,Standby
2026-01-26 20:00,Server Closet,25.4,47.1,0.852,No,Standby
2026-01-28 03:00,Living Room,,41.0,0.316,Yes,Standby
2026-01-29 10:00,Server Closet,24.2,35.0,0.846,No,Active
2026-01-30 17:00,Living Room,19.0,38.2,0.342,No,Active
2026-02-01 00:00,Home Office,19.3,56.7,0.137,No,Active
2026-02-02 07:00,Master Bedroom,22.0,38.8,0.347,Yes,Standby
2026-02-03 14:00,Home Office,21.0,52.2,0.222,Yes,Active
2026-02-04 21:00,Master Bedroom,21.4,41.9,0.323,No,Active
2026-02-06 04:00,Master Bedroom,20.0,34.0,0.0,No,Offline
2026-02-07 11:00,Master Bedroom,19.8,42.7,0.383,Yes,Standby
2026-02-08 18:00,Server Closet,24.9,46.5,1.215,No,Active
2026-02-10 01:00,Server Closet,24.2,33.5,1.43,No,Standby
2026-02-11 08:00,Home Office,19.8,55.1,0.098,Yes,Standby
2026-02-12 15:00,Kitchen,22.2,32.4,1.674,No,Active
2026-02-13 22:00,Server Closet,25.6,42.4,1.48,No,Active
2026-02-15 05:00,Server Closet,23.3,47.2,1.282,No,Active
2026-02-16 12:00,Kitchen,20.2,46.2,1.383,No,Standby
2026-02-17 19:00,Server Closet,24.6,56.0,1.332,No,Active
2026-02-19 02:00,Master Bedroom,19.1,43.2,0.252,Yes,Standby
2026-02-20 09:00,Home Office,,41.0,0.345,Yes,Standby
2026-02-21 16:00,Home Office,19.7,35.6,0.334,No,Standby
